1-*-1.0,1-*-1.0,2-155972-0.6,1-156415-0.4,1-156693-0.6:2079816
1-126289-1.0,1-*-1.0,2-126687-0.4,1-126228-0.2,1-126216-0.2:38616
1-*-1.0,1-*-1.0,1-*-1.0,2-366897-0.6,1-366961-0.4:2079816
1-*-1.0,3-133374-0.2,2-*-1.0,1-133497-0.8,1-133425-0.2:136662
1-351991-0.6,1-351981-0.8,2-351474-0.2,1-351886-0.8,1-*-1.0:149230
1-*-1.0,2-317051-0.8,3-*-1.0,1-317645-0.8,1-317245-0.8:163620
2-*-1.0,1-*-1.0,1-420125-0.8,1-420097-0.8,1-*-1.0:169266
1-62419-1.0,1-62438-0.4,2-*-1.0,1-62381-1.0,1-62426-0.8:171
1-338647-0.6,2-339430-0.4,1-*-1.0,1-338640-0.2,1-*-1.0:2079816
2-308676-0.6,1-*-1.0,1-307973-0.6,1-*-1.0,1-*-1.0:2079816
3-274557-0.8,1-275192-1.0,2-*-1.0,1-274517-0.6,1-*-1.0:3188
1-95191-0.4,1-94955-0.6,1-94966-0.8,2-95187-1.0,3-94870-0.8:2394
1-*-1.0,2-19223-0.4,1-18595-0.2,1-*-1.0,1-18603-0.4:2079816
1-324902-0.2,1-324903-0.2,3-325239-0.8,1-324481-0.8,1-*-1.0:35148
1-512291-0.4,1-512477-0.2,2-512642-0.2,3-512125-0.2,1-512474-0.6:521280
1-23284-0.6,1-*-1.0,3-22988-0.6,1-*-1.0,2-*-1.0:172398
1-329489-0.8,3-329073-0.6,2-329084-0.8,1-329434-0.4,1-329423-0.4:97112
1-35416-0.8,1-35599-0.4,1-35815-0.6,3-*-1.0,1-35584-0.6:78474
3-*-1.0,1-*-1.0,1-128837-1.0,2-128868-1.0,1-127945-1.0:12
1-173805-0.6,2-*-1.0,1-173726-0.2,3-173691-0.4,1-173727-1.0:9754
1-*-1.0,1-454093-1.0,2-454202-0.6,3-453719-0.6,1-453516-0.4:6562
1-464536-0.8,1-*-1.0,1-464592-1.0,2-*-1.0,1-*-1.0:11234
1-*-1.0,1-*-1.0,2-203925-0.4,1-204043-0.4,3-204035-0.4:315326
3-361198-0.8,1-360895-0.2,1-*-1.0,2-361347-0.4,1-*-1.0:228726
3-*-1.0,1-519540-0.6,1-*-1.0,1-*-1.0,2-520121-0.8:163620
3-499496-1.0,1-499193-1.0,1-499169-0.8,1-499128-0.2,2-499643-0.6:160
1-234727-0.4,1-234668-0.6,1-234626-0.4,1-234645-0.2,2-235639-0.6:2079816
3-90860-0.2,1-90658-0.4,2-90175-1.0,1-90585-0.2,1-90574-1.0:382
1-100475-1.0,2-101003-0.2,3-*-1.0,1-*-1.0,1-*-1.0:3192
8-418669-0.4,8-418670-0.2,8-419473-0.8,4-418959-0.8,8-*-1.0:53796
1-*-1.0,2-287761-0.6,3-*-1.0,1-288600-0.8,1-288601-0.4:147818
1-*-1.0,1-*-1.0,1-233171-0.6,1-*-1.0,2-232986-1.0:115128
3-387380-0.8,2-387035-0.4,1-386497-1.0,1-386519-1.0,1-*-1.0:60
1-*-1.0,2-272470-0.8,3-272980-0.6,6-*-1.0,1-*-1.0:32514
1-306298-1.0,1-306287-0.8,1-*-1.0,1-*-1.0,2-306284-0.4:10800
1-*-1.0,2-138127-0.4,1-138108-1.0,1-*-1.0,1-*-1.0:39606
1-494307-0.2,2-493763-0.8,1-493808-0.8,1-494096-0.4,1-*-1.0:568338
1-282274-0.6,3-*-1.0,2-282437-1.0,1-282088-0.6,6-*-1.0:2304
1-*-1.0,3-318860-0.6,6-318587-0.2,1-318319-0.8,1-318305-0.6:24312
1-526513-0.2,1-525838-0.4,1-*-1.0,1-*-1.0,2-526313-0.2:2079816
1-*-1.0,1-210027-0.4,2-*-1.0,1-*-1.0,1-*-1.0:2079816
2-*-1.0,1-267502-0.8,1-266922-0.4,1-266915-0.2,1-267479-0.2:569256
3-67979-0.4,2-67796-0.8,1-68046-1.0,1-67299-1.0,1-67285-0.4:63
1-315908-0.6,1-*-1.0,1-315953-1.0,2-*-1.0,1-*-1.0:38952
1-*-1.0,1-*-1.0,1-329802-0.6,2-330134-0.2,1-*-1.0:2079816
1-64375-0.6,1-64435-0.2,2-63800-0.6,1-64355-0.2,1-64433-0.4:2079816
1-275205-0.8,1-275437-0.6,1-274513-0.4,3-*-1.0,1-*-1.0:122412
1-250238-0.2,1-250236-0.2,1-*-1.0,1-*-1.0,2-*-1.0:2079816
3-298699-0.6,1-299415-0.2,1-299435-0.6,1-*-1.0,2-*-1.0:348882
2-*-1.0,1-*-1.0,1-539368-0.2,1-539341-0.8,1-539418-0.2:564570
2-254726-0.2,1-253801-0.8,1-*-1.0,1-253863-1.0,1-*-1.0:10912
1-74228-0.2,1-73763-1.0,2-73789-0.8,1-*-1.0,1-74233-0.2:38460
1-181501-0.2,1-180916-0.6,3-180650-0.4,2-*-1.0,1-*-1.0:163620
1-*-1.0,2-451260-0.2,6-451202-0.4,3-451474-0.6,1-451824-1.0:289
2-*-1.0,1-411532-0.4,1-411623-0.8,1-411585-0.2,1-411579-1.0:10458
1-*-1.0,1-286542-0.4,2-286357-1.0,3-286264-0.6,1-*-1.0:13572
1-296939-0.4,1-297004-0.8,3-296719-0.2,2-*-1.0,1-296986-1.0:3011
1-*-1.0,1-492281-0.6,2-492335-1.0,3-491233-0.8,1-*-1.0:2436
1-*-1.0,1-*-1.0,2-417566-0.4,1-417250-1.0,3-416943-0.2:8596
1-*-1.0,1-241187-0.6,2-240690-1.0,3-240674-1.0,1-241218-1.0:6
1-*-1.0,1-103544-0.4,1-103572-0.4,1-103535-0.2,2-104394-1.0:103416
3-483105-0.8,1-483194-0.2,1-483182-0.4,2-482860-0.6,1-482900-0.8:74502
1-437948-0.2,1-438499-0.6,2-438542-0.4,1-*-1.0,1-438495-1.0:38346
2-*-1.0,1-*-1.0,1-98872-0.6,1-*-1.0,3-*-1.0:521280
1-437082-0.4,1-437135-0.4,2-*-1.0,1-437081-1.0,1-437063-0.6:39606
1-*-1.0,1-*-1.0,2-219888-1.0,1-219858-0.8,1-219821-0.6:29028
2-*-1.0,1-*-1.0,1-149458-0.2,1-149516-0.6,1-*-1.0:2079816
1-108055-0.4,1-108417-1.0,2-108204-0.4,1-108438-0.2,1-108392-0.8:9178
2-535444-0.2,1-536137-0.2,1-536261-0.2,3-535869-0.4,1-536216-0.8:151338
1-13411-0.2,2-13072-0.6,1-13422-0.4,3-13365-0.8,1-13456-0.2:190652
1-452615-0.4,2-452825-1.0,1-*-1.0,1-453079-1.0,1-*-1.0:1854
1-445050-1.0,1-445211-0.6,1-445102-0.6,2-444977-0.6,1-445053-0.4:37320
1-147914-1.0,1-*-1.0,1-147968-1.0,2-147453-0.8,3-147997-1.0:4
3-*-1.0,1-405575-0.4,1-405535-0.8,2-*-1.0,1-*-1.0:163620
1-132556-0.4,1-132542-0.2,1-132540-0.2,2-132607-0.8,1-132558-0.4:2079816
1-197336-0.8,1-197381-0.6,2-197810-0.4,1-197384-0.8,1-197878-0.8:76873
2-114910-0.6,1-114228-0.2,1-*-1.0,3-115263-0.8,1-114230-0.4:189364
1-*-1.0,1-189732-0.4,2-189475-1.0,3-190061-0.2,1-189739-1.0:486
1-66565-0.8,2-*-1.0,1-66509-0.2,1-66595-0.4,1-*-1.0:389808
6-*-1.0,1-486771-0.4,3-487653-0.6,1-487249-0.8,2-486885-0.2:16350
0-*-1.0,0-117403-0.2,0-*-1.0,0-117872-0.4,0-*-1.0:93672
1-414639-0.8,2-414961-0.6,1-414345-1.0,1-414291-0.6,1-*-1.0:10210
1-89751-0.8,1-89773-0.2,1-*-1.0,2-*-1.0,1-*-1.0:611520
1-382222-1.0,2-382840-0.2,1-382170-0.4,1-382188-1.0,1-*-1.0:532
1-*-1.0,1-*-1.0,1-*-1.0,2-*-1.0,1-215180-1.0:39420
2-414961-0.8,1-414312-1.0,1-414300-1.0,1-*-1.0,3-415226-0.6:106
1-372881-0.2,3-*-1.0,2-372547-1.0,1-372775-0.4,1-*-1.0:25296
2-132280-0.6,1-*-1.0,1-*-1.0,3-*-1.0,1-*-1.0:684900
6-381343-0.6,5-2373-0.4,2-381594-0.4,1-381564-0.2,1-381562-1.0:10
1-*-1.0,2-*-1.0,1-*-1.0,1-194266-0.6,1-*-1.0:2079816
2-*-1.0,1-30391-0.6,6-30895-0.4,1-*-1.0,1-31120-0.2:36678
2-484716-1.0,1-*-1.0,1-*-1.0,3-484700-0.4,1-*-1.0:30900
2-414259-0.4,1-*-1.0,1-413325-0.2,1-413335-0.8,1-*-1.0:915972
1-*-1.0,2-*-1.0,1-*-1.0,1-443292-0.8,3-*-1.0:163620
1-94118-0.4,1-*-1.0,1-*-1.0,1-*-1.0,3-94175-1.0:16296
8-*-1.0,8-133920-1.0,8-133927-0.2,8-*-1.0,4-*-1.0:1278
1-329357-0.2,3-*-1.0,1-329468-0.6,1-*-1.0,6-*-1.0:36678
1-*-1.0,2-37102-0.4,1-36858-1.0,1-36855-0.6,1-*-1.0:13410
1-78026-0.8,2-*-1.0,1-77693-1.0,3-*-1.0,1-*-1.0:2845
6-449708-0.2,2-449448-1.0,3-*-1.0,1-*-1.0,1-449336-0.6:2082
2-429370-0.8,3-428738-0.4,1-*-1.0,1-429047-1.0,1-429074-0.4:9664
1-530611-0.8,2-*-1.0,1-530649-0.4,3-*-1.0,1-*-1.0:163620
8-*-1.0,8-506413-0.4,4-506248-0.8,8-506465-0.2,8-506325-0.2:84624
3-221413-1.0,1-220816-0.6,1-*-1.0,1-*-1.0,1-220857-0.2:15312
1-*-1.0,1-21061-0.2,1-21015-0.6,1-*-1.0,3-21469-1.0:7176
1-*-1.0,1-*-1.0,1-151674-0.2,2-152740-0.2,3-*-1.0:684900
1-440704-0.2,3-440422-0.4,1-440623-1.0,1-440702-1.0,2-439967-0.4:147
2-258015-0.2,1-258177-0.4,1-*-1.0,1-257604-0.4,1-257595-0.6:2079816
1-143771-0.8,1-143838-0.4,1-143920-0.4,2-143385-1.0,1-*-1.0:25434
1-*-1.0,1-120083-1.0,1-120448-0.8,2-120323-0.8,1-120446-0.2:11084
1-280434-0.6,2-280128-0.8,1-280154-0.6,3-*-1.0,1-*-1.0:163620
3-88256-1.0,6-88707-0.8,2-88403-0.2,1-*-1.0,1-*-1.0:540
2-80038-0.4,1-80523-0.8,1-80098-1.0,1-*-1.0,1-80526-0.8:4499
1-361144-0.2,1-361132-0.8,2-361347-1.0,1-361137-0.4,1-361248-1.0:434
3-52622-0.8,1-53819-1.0,1-*-1.0,2-53178-0.6,1-53792-0.4:1028
3-259979-1.0,1-*-1.0,2-*-1.0,1-259374-0.4,1-*-1.0:8592
1-*-1.0,2-94224-0.8,1-*-1.0,1-93826-0.4,1-*-1.0:2079816
3-*-1.0,1-29803-0.6,1-*-1.0,1-29775-1.0,2-*-1.0:3104
1-187539-0.4,2-*-1.0,1-*-1.0,3-*-1.0,1-187370-0.4:200623
1-326355-0.4,1-326374-0.8,2-326547-1.0,1-326377-0.2,1-326482-0.8:8288
